Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
55448,Crysis Remastered,XOne,2020,Shooter,Crytek  ,Crytek  ,,,,,,,
55449,Crysis Remastered,PS4,2020,Shooter,Crytek  ,Crytek  ,,,,,,,
55450,Crysis Remastered,PC,2020,Shooter,Crytek  ,Crytek  ,,,,,,,
55451,Crysis Remastered,NS,2020,Shooter,Crytek  ,Crytek  ,,,,,,,
55452,Crystal Crisis,NS,2019,Puzzle,Nicalis  ,Nicalis  ,,,,,,,
55453,Crystal Crisis,PC,N/A,Puzzle,Unknown  ,Nicalis  ,,,,,,,
55454,Crystal Crisis,PS4,N/A,Puzzle,Unknown  ,Nicalis  ,,,,,,,
55455,Crystar,PC,2019,Role-Playing,Spike Chunsoft  ,FuRyu  ,,,,,,,
55456,CRYSTORLD,WiiU,2020,Action,TOYURO  ,TOYURO  ,,,,,,,
55457,CSI: Crime Scene Investigation,Series,2003,Adventure,Ubisoft  ,369 Interactive  ,,,,,,,
55458,Cthulhu Saves Christmas,PC,2020,Role-Playing,Zeboyd Games  ,Zeboyd Games  ,,,,,,,
55459,Cthulhu Saves Christmas,NS,2020,Role-Playing,Limited Run Games  ,Zeboyd Games  ,,,,,,,
55460,Cubeshift,WiiU,N/A,Puzzle,Unknown  ,TBD  ,,,,,,,
55461,Cultist Simulator,PC,2018,Simulation,Humble Bundle  ,Weather Factory  ,,,,,,,
55462,Cultures,Series,2001,Strategy,Phenomedia  ,Funatics Software  ,,,,,,,
55463,Cultures: 8th Wonder of the World,PC,N/A,Strategy,Unknown  ,Funatics Software  ,,,,,,,
55464,Cultures: Northland,PC,N/A,Strategy,Unknown  ,Funatics Software  ,,,,,,,
55465,Cup Critters,WiiU,N/A,Action,Unknown  ,RCMADIAX  ,,,,,,,
55466,Cup Critters,3DS,N/A,Action,Unknown  ,RCMADIAX  ,,,,,,,
55467,Cuphead,NS,2019,Action,Studio MDHR  ,Studio MDHR  ,,,,,,,
55468,Cuphead,PS4,2020,Action,Studio MDHR  ,Studio MDHR  ,,,,,,,
55469,CUPID - A free to play Visual Novel,PC,2016,Visual Novel,Afterthought Studios  ,Fervent Interactive  ,,,,,,,
55470,Cupid Parasite,NS,2020,Visual Novel,Idea Factory  ,Idea Factory  ,,,,,,,
55471,Curse of the Sea Rats,XOne,2021,Role-Playing,Petoons Studio  ,Petoons Studio  ,,,,,,,
55472,Curse of the Sea Rats,PS4,2021,Role-Playing,Petoons Studio  ,Petoons Studio  ,,,,,,,
55473,Curse of the Sea Rats,PC,2021,Role-Playing,Petoons Studio  ,Petoons Studio  ,,,,,,,
55474,Curse of the Sea Rats,NS,2021,Role-Playing,Petoons Studio  ,Petoons Studio  ,,,,,,,
55475,Curved Space,PS4,N/A,Shooter,Unknown  ,Only By Midnight Ltd.  ,,,,,,,
