Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,vg_user_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
GBA,92,9.1,2002.0,Adventure,Nintendo  ,Nintendo R&D1  ,9.0,,1.18,0.27,0.17,0.06,1.68
GBA,92,8.7,2007.0,Role-Playing,Nintendo  ,Square Enix  ,9.1,,,,0.28,0.01,0.28
WiiU,92,8.8,2013.0,Platform,Ubisoft  ,Ubisoft Montpellier  ,9.5,,0.25,0.35,0.03,0.05,0.68
PC,92,5.0,2002.0,Sports,EA Sports  ,Headgate Studios  ,,,,,,,
XB,91,7.2,2004.0,Sports,EA Sports  ,EA Tiburon  ,,,1.61,0.03,,0.08,1.72
X360,91,7.7,2010.0,Fighting,Capcom  ,Capcom / Dimps Corporation  ,9.2,,0.53,0.21,0.07,0.07,0.88
PS3,91,8.0,2008.0,Misc,MTV Games  ,Harmonix Music Systems  ,8.9,,1.13,0.2,,0.16,1.5
X360,91,7.9,2015.0,Role-Playing,Namco Bandai Games  ,From Software  ,,,0.49,0.19,0.01,0.07,0.75
PC,91,8.5,2013.0,Action,Bethesda Softworks  ,Arkane Studios  ,,,0.27,0.19,,0.05,0.51
PS2,91,8.5,2003.0,Sports,Sega  ,Visual Concepts  ,,,0.27,0.21,,0.07,0.56
PC,91,8.5,2002.0,Shooter,Electronic Arts  ,"2015, Inc.  ",9.3,,,0.0,,0.0,0.0
PC,91,8.5,1997.0,Strategy,Bungie Software  ,Bungie Software  ,,,,,,,
PS3,91,8.6,2011.0,Platform,Sony Computer Entertainment  ,Media Molecule  ,9.1,,1.83,1.07,0.06,0.47,3.43
NS,91,8.6,2018.0,Adventure,Playdead  ,Playdead  ,,,,,,,
PC,91,7.2,1996.0,Simulation,Microsoft  ,Microsoft  ,7.0,,3.22,1.69,,0.2,5.12
XOne,91,5.5,2020.0,Platform,Starbreeze Studios  ,Double Fine Productions  ,,,,,,,
PS2,91,8.6,2005.0,Misc,RedOctane  ,Harmonix Music Systems  ,8.0,,1.67,0.61,0.03,0.07,2.38
PC,91,7.9,2008.0,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,9.3,9.3,0.01,0.13,,1.18,1.32
Wii,91,6.9,2010.0,Misc,MTV Games  ,Harmonix Music Systems  ,9.2,,0.53,0.06,,0.05,0.64
PC,91,6.5,2016.0,Shooter,Blizzard Entertainment  ,Blizzard Entertainment  ,9.5,,0.37,0.48,,0.07,0.92
PC,91,7.6,2003.0,Racing,EA Sports  ,Image Space Inc.  ,,,,,,,
PS2,91,7.5,2000.0,Sports,EA Sports  ,EA Sports  ,,,1.19,0.07,0.05,0.2,1.5
PC,91,8.9,1998.0,Role-Playing,Interplay  ,BioWare  ,9.2,,,0.0,,0.0,0.0
WiiU,91,8.9,2014.0,Action,Nintendo  ,PlatinumGames  ,9.3,,0.37,0.32,0.1,0.06,0.86
XOne,91,9.2,2015.0,Role-Playing,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,,,0.97,0.61,0.01,0.15,1.74
PS3,91,8.1,2010.0,Misc,MTV Games  ,Harmonix Music Systems  ,9.2,,0.43,0.09,,0.06,0.57
PS2,91,8.6,2001.0,Platform,Namco  ,Namco  ,9.4,,0.12,0.1,0.08,0.03,0.33
PC,91,8.7,2001.0,Simulation,Ubisoft  ,1C Maddox Games  ,,,,0.01,,0.0,0.01
N64,91,8.8,2000.0,Sports,Nintendo  ,Camelot Software Planning  ,8.8,,0.78,0.4,1.06,0.07,2.32
PC,91,8.7,1999.0,Simulation,Interplay  ,Volition Inc.  ,,,,,,,
PS,91,8.3,1997.0,Simulation,Psygnosis  ,Psygnosis  ,8.8,,0.24,0.16,,0.03,0.42
PC,91,7.8,2015.0,Action,Konami Digital Entertainment  ,Kojima Productions  ,,,,0.08,,0.0,0.09
PS2,91,9.1,2004.0,Platform,Sony Computer Entertainment  ,Insomniac Games  ,9.1,,1.31,0.74,0.31,0.22,2.57
PS3,91,7.6,2009.0,Sports,EA Sports  ,EA Canada  ,9.0,,0.6,2.46,0.05,0.52,3.63
PS3,91,8.7,2009.0,Action,Ubisoft  ,Ubisoft Montreal  ,9.0,,2.54,1.95,0.21,0.86,5.57
PS2,91,9.2,2004.0,Action,Konami  ,KCEJ / Kojima Productions  ,9.0,,1.46,0.0,0.83,1.93,4.23
PS2,91,8.4,2001.0,Racing,Sony Computer Entertainment  ,Incognito Inc.  ,8.9,,1.19,0.17,,0.05,1.41
PS,91,8.9,2000.0,Platform,Sony Computer Entertainment  ,Insomniac Games  ,9.1,,1.93,1.58,,0.19,3.71
PS,91,8.4,1996.0,Action,Eidos Interactive  ,Core Design Ltd.  ,8.9,,2.29,1.97,0.13,0.24,4.63
XOne,91,5.9,2016.0,Shooter,Blizzard Entertainment  ,Blizzard Entertainment  ,8.7,,1.63,0.84,,0.25,2.72
PC,91,9.1,2016.0,Strategy, Wube Software LTD.  , Wube Software LTD.  ,,,,,,,
XOne,91,8.7,2019.0,Role-Playing,Activision  ,From Software  ,,,,,,,
PS2,91,9.1,2005.0,Adventure,Sony Computer Entertainment  ,Team ICO  ,9.1,9.4,0.78,0.03,0.2,0.13,1.14
XOne,91,8.0,2016.0,Racing,Microsoft Studios  ,Playground Games  ,9.0,,1.64,1.96,0.02,0.32,3.93
PS3,91,8.2,2012.0,Shooter,2K Games  ,Gearbox Software  ,,,1.06,0.75,0.1,0.36,2.27
PC,91,8.5,2003.0,Shooter,Ubisoft  ,Ubisoft  ,,,,0.0,,0.0,0.01
XOne,91,8.1,2018.0,Action,Merge Games  ,Motion Twin  ,,,,,,,
PS2,91,8.4,2002.0,Sports,EA Sports  ,EA Tiburon  ,,,1.16,0.08,,0.19,1.44
PC,91,8.1,2007.0,Shooter,Electronic Arts  ,Crytek  ,9.2,8.5,,0.69,,0.02,0.71
XB,91,8.8,2004.0,Action,Tecmo  ,Team Ninja  ,9.4,,0.92,0.2,0.07,0.04,1.23
PSP,91,8.6,2008.0,Action,Sony Computer Entertainment  ,Ready at Dawn  ,8.9,9.5,1.48,1.0,0.04,0.66,3.19
PS4,91,8.4,2019.0,MMO,Square Enix  ,Square Enix  ,,,,,,,
PC,91,6.7,2007.0,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,9.2,,2.57,1.52,,,4.09
PS3,91,8.2,2010.0,Sports,Sony Computer Entertainment  ,SCEA San Diego Studios  ,8.6,,0.67,,,0.06,0.73
PS4,91,7.8,2018.0,Action-Adventure,Sony Interactive Entertainment  ,Bluepoint Games  ,9.3,,0.44,0.52,0.05,0.19,1.2
GBA,91,8.9,2002.0,Platform,Nintendo  ,Nintendo EAD  ,,,1.75,0.45,0.62,0.09,2.91
PC,91,3.8,2004.0,Sports,EA Sports  ,Headgate Studios  ,,,,0.01,,0.0,0.01
XB,91,7.8,2003.0,Sports,Sega  ,Visual Concepts  ,,,0.27,0.08,,0.01,0.36
PC,91,8.7,2000.0,Adventure,Funcom   ,Funcom  ,8.7,,,0.01,,0.0,0.02
PC,91,8.5,2000.0,Sports,Activision  ,Neversoft Entertainment  ,9.0,,,0.0,,0.0,0.0
PC,91,8.6,1997.0,Shooter,LucasArts  ,LucasArts  ,,,,,,,
PC,91,8.6,2009.0,Action,Eidos Interactive  ,Rocksteady Studios  ,9.3,,,0.28,,0.04,0.32
X360,91,8.4,2010.0,Shooter,Microsoft Game Studios  ,Bungie  ,9.3,,7.08,2.01,0.08,0.8,9.97
PC,91,7.8,2007.0,Strategy,Stardock  ,Stardock  ,,,,,,,
X360,91,8.7,2007.0,Role-Playing,Microsoft Game Studios  ,BioWare Edmonton  ,9.2,9.1,1.83,0.79,0.03,0.27,2.91
PC,91,8.7,2000.0,Shooter,Fox Interactive  ,Monolith Productions  ,8.9,,,0.0,,0.0,0.0
PS,91,8.5,1999.0,Action,Capcom  ,Capcom  ,9.4,,1.3,0.77,1.54,0.11,3.72
PC,91,8.4,2020.0,Strategy,Paradox Interactive   ,Paradox Interactive  ,,,,,,,
X360,91,8.3,2011.0,Racing,Microsoft Studios  ,Turn 10 Studio  ,9.1,,2.08,1.98,0.06,0.49,4.6
PS,91,9.1,1996.0,Action,Capcom  ,Capcom  ,8.6,,2.05,1.16,1.11,0.73,5.05
PC,91,8.4,2005.0,Shooter,Electronic Arts  ,Digital Illusions CE  ,9.0,,,0.07,,0.01,0.08
PS3,91,8.8,2009.0,Action,Sony Computer Entertainment  ,Bluepoint Games  ,9.2,,1.7,0.45,0.06,0.4,2.6
PS4,91,7.5,2018.0,Platform,Matt Makes Games Inc.  ,Matt Thorson  ,,,,,,,
PS2,91,8.0,2004.0,Sports,EA Sports  ,EA Tiburon  ,9.5,,4.18,0.26,0.01,0.08,4.53
PC,91,7.8,2009.0,Fighting,Capcom  ,Capcom / Dimps Corporation  ,9.1,,0.07,0.05,,0.02,0.13
PC,91,7.8,2008.0,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,9.0,,0.02,0.88,,0.07,0.98
PC,91,8.7,2011.0,Action,Warner Bros. Interactive  ,Rocksteady Studios  ,9.0,,0.16,0.28,,0.08,0.52
PC,91,6.7,2013.0,Platform,Trapdoor  ,Polytron Corporation  ,,,,,,,
PC,91,9.2,1999.0,Role-Playing,Interplay  ,Black Isle Studios  ,8.8,,0.01,0.02,,0.0,0.03
X360,91,8.1,2011.0,Shooter,Microsoft Studios  ,Epic Games  ,9.1,,4.05,1.59,0.07,0.5,6.22
PS3,91,8.1,2009.0,Shooter,Sony Computer Entertainment  ,Guerrilla Games  ,9.1,9.3,1.4,1.07,0.08,0.46,3.02
PC,91,8.2,2002.0,Role-Playing,Atari  ,BioWare Corp.  ,8.7,,,0.03,,0.0,0.03
PS3,91,8.8,2009.0,Action,Eidos Interactive  ,Rocksteady Studios  ,9.0,,2.26,1.33,0.07,0.63,4.28
GBA,91,8.9,2003.0,Platform,Konami  ,KCET  ,8.8,,0.2,0.07,,0.0,0.28
PC,91,8.6,2002.0,Shooter,Sierra Entertainment  ,Monolith Productions  ,8.8,,,,,,
PS,91,9.0,1999.0,Adventure,Eidos Interactive  ,Crystal Dynamics  ,8.9,,0.58,0.4,,0.07,1.04
PC,91,8.8,2009.0,Role-Playing,Electronic Arts  ,BioWare Corp.  ,9.1,,,0.46,,0.04,0.5
GBA,91,9.0,2001.0,Role-Playing,Nintendo  ,Camelot Software Planning  ,9.1,,0.93,0.38,0.4,0.06,1.76
PS3,91,8.7,2013.0,Platform,Ubisoft  ,Ubisoft Montpellier  ,,,0.14,0.38,,0.09,0.61
XOne,91,7.2,2020.0,Racing,Codemasters  ,Codemasters Birmingham  ,,,,,,,
PC,91,8.0,2012.0,Action,Microsoft Studios  ,Klei Entertainment  ,9.3,,,,,,
PC,91,8.4,2019.0,Role-Playing,Humble Bundle  ,ZA/UM  ,,,,,,,
PS2,91,8.3,2005.0,Sports,Konami  ,Konami Computer Entertainment Tokyo  ,9.3,,0.16,1.89,1.12,0.68,3.85
NS,91,8.3,2017.0,Action,Image & Form International AB  ,Image & Form Games  ,,,,,,,
3DS,91,9.0,2013.0,Adventure,Nintendo  ,Nintendo EAD  ,9.3,,1.53,1.31,0.47,0.26,3.57
PC,91,7.2,2014.0,Role-Playing,Namco Bandai Games  ,From Software  ,,,0.09,0.08,,0.02,0.19
GBA,91,8.3,2001.0,Platform,Konami  ,KCEK  ,8.9,,0.6,0.22,0.05,0.02,0.89
PS4,91,8.9,2019.0,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
PC,91,6.7,2020.0,Action-Adventure,BlitWorks  ,"Mossmouth, LLC  ",,,,,,,
X360,91,8.6,2012.0,Shooter,Ubisoft  ,Ubisoft Montreal  ,,,1.38,1.33,0.02,0.25,2.98
PS3,91,8.1,2015.0,Role-Playing,Namco Bandai Games  ,From Software  ,,,0.38,0.35,0.41,0.15,1.29
PS4,91,7.3,2013.0,Adventure,Sony Computer Entertainment  ,thatgamecompany  ,8.8,,,,,,
DS,91,8.7,2005.0,Racing,Nintendo  ,Nintendo EAD  ,9.1,9.4,9.71,7.51,4.13,1.91,23.26
PC,91,8.4,2003.0,Shooter,Activision  ,Infinity Ward  ,7.0,,,0.01,,0.0,0.01
PC,91,7.1,2003.0,Sports,EA Sports  ,EA Tiburon  ,,,,,,,
N64,91,8.0,1999.0,Sports,Nintendo  ,Camelot Software Planning  ,9.0,,0.62,0.18,0.65,0.02,1.47
PS,91,9.0,1998.0,Platform,Sony Computer Entertainment  ,Naughty Dog  ,9.3,,3.68,1.75,1.42,0.28,7.13
X360,90,8.8,2009.0,Action,Ubisoft  ,Ubisoft Montreal  ,9.1,,3.14,1.55,0.08,0.52,5.3
PS3,90,6.8,2011.0,Sports,2K Sports  ,Visual Concepts  ,9.0,,1.62,0.27,0.05,0.18,2.13
NS,90,5.5,2020.0,Simulation,Nintendo  ,Nintendo  ,,,,,,,
PC,90,8.7,2004.0,Simulation,Electronic Arts  ,Maxis  ,8.9,,0.02,0.24,,0.03,0.29
PC,90,9.1,2019.0,MMO,Square Enix  ,Square Enix  ,,,,,,,
PC,90,5.8,2010.0,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,9.0,,1.77,0.32,,,2.09
XB,90,8.4,2005.0,Shooter,Electronic Arts  ,Valve Software  ,8.9,,0.37,0.21,,0.03,0.61
XB,90,7.3,2002.0,Sports,EA Sports  ,EA Tiburon  ,,,0.39,0.11,,0.02,0.52
N64,90,8.8,1999.0,Platform,Ubisoft  ,Ubisoft  ,9.0,,0.4,0.22,,0.02,0.64
X360,90,8.1,2010.0,Action,Sega  ,PlatinumGames  ,8.9,9.5,0.51,0.25,0.09,0.08,0.93
PS4,90,7.9,2014.0,Role-Playing,Blizzard Entertainment  ,Blizzard Entertainment  ,,,0.83,1.48,0.08,0.44,2.82
PS4,90,6.4,2016.0,Shooter,Blizzard Entertainment  ,Blizzard Entertainment  ,8.8,,1.84,1.8,0.17,0.73,4.54
PS3,90,8.6,2012.0,Shooter,Ubisoft  ,Ubisoft Montreal  ,,,0.88,1.79,0.1,0.5,3.27
PS2,90,8.8,2001.0,Adventure,Sony Computer Entertainment  ,Team ICO  ,8.8,,0.23,0.18,,0.06,0.47
X360,90,7.9,2006.0,Shooter,Ubisoft  ,Ubisoft Paris  ,9.1,,1.4,0.02,0.02,0.1,1.54
PS3,90,7.2,2011.0,Sports,EA Sports  ,EA Canada  ,9.2,,0.84,4.33,0.11,1.37,6.65
PC,90,8.4,2008.0,Puzzle,Take-Two Interactive  ,2D Boy  ,9.0,,,0.03,,0.01,0.03
GBA,90,8.9,2003.0,Role-Playing,Nintendo  ,AlphaDream Corporation  ,8.8,,1.48,0.17,0.47,0.06,2.17
PS4,90,7.7,2015.0,Platform,Yacht Club Games  ,Yacht Club Games  ,,,0.08,0.04,,0.02,0.14
PS2,90,8.7,2003.0,Sports,Activision  ,Neversoft Entertainment  ,8.7,,2.29,1.17,0.01,0.42,3.9
DC,90,8.8,2000.0,Fighting,Capcom  ,Capcom  ,9.0,,,,0.14,,0.14
PS,90,8.4,1999.0,Platform,Sony Computer Entertainment  ,SCE Japan Studio  ,9.3,,0.71,0.48,0.32,0.11,1.63
PS,90,8.7,1999.0,Shooter,989 Studios  ,Eidetic  ,9.2,,2.03,0.72,0.02,0.11,2.88
DS,90,8.8,2009.0,Role-Playing,Nintendo  ,AlphaDream Corporation  ,9.1,,2.23,0.47,0.81,0.27,3.77
X360,90,6.8,2011.0,Sports,EA Sports  ,EA Canada  ,9.2,,0.85,2.79,0.02,0.52,4.18
PC,90,7.4,2008.0,Platform,"Mossmouth, LLC  ","Mossmouth, LLC  ",,,,,,,
X360,90,7.4,2009.0,Sports,EA Sports  ,EA Canada  ,8.9,,0.6,1.79,0.01,0.23,2.62
PS2,90,8.9,2003.0,Platform,Sony Computer Entertainment  ,Insomniac Games  ,8.7,,1.44,0.83,0.26,0.25,2.78
PS2,90,8.7,2003.0,Sports,EA Sports BIG   ,EA Canada  ,,,1.69,0.2,,0.06,1.95
DC,90,7.9,2001.0,Sports,Sega  ,Hitmaker  ,8.7,,,,,,
PC,90,7.7,2001.0,Strategy,Electronic Arts  ,Lionhead Studios  ,9.3,,,0.04,,0.0,0.04
PS3,90,7.9,2008.0,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,8.8,,2.18,1.15,0.07,0.61,4.0
NS,90,8.6,2019.0,Platform,Xbox Game Studios  ,Moon Studios  ,,8.3,,,,,
PS2,90,8.5,2004.0,Sports,Sega  ,Visual Concepts  ,,,2.15,0.12,,0.36,2.62
PC,90,9.2,2008.0,Shooter,Valve Corporation  ,Valve Software  ,9.0,,,0.0,,0.0,0.01
PC,90,6.6,2019.0,Puzzle,Enhance  , Monstars Inc.   ,,,,,,,
DS,90,8.0,2007.0,Adventure,Nintendo  ,Nintendo EAD  ,9.1,,1.85,1.8,0.95,0.48,5.09
PS2,90,8.5,2004.0,Sports,Electronic Arts  ,EA Sports  ,,,1.1,0.06,,0.18,1.34
GBA,90,7.0,2002.0,Sports,Activision  ,Vicarious Visions  ,,,0.37,0.14,,0.01,0.52
PC,90,6.5,2000.0,Sports,EA Sports  ,EA Canada  ,,,,,,,
DS,90,8.8,2005.0,Strategy,Nintendo  ,Intelligent Systems  ,9.0,,0.3,0.03,0.04,0.03,0.39
PS4,90,8.4,2014.0,Platform,Ubisoft  ,Ubisoft Montpellier  ,,,0.22,1.05,,0.23,1.5
PS3,90,8.0,2011.0,Sports,Sony Computer Entertainment  ,SCEA San Diego Studios  ,8.9,,0.55,,,0.05,0.59
PS2,90,8.8,2001.0,Platform,Sony Computer Entertainment  ,Naughty Dog  ,9.0,8.9,2.08,1.09,0.15,0.33,3.64
NS,90,7.7,,Role-Playing,Unknown  ,Supergiant Games  ,,,,,,,
XOne,90,7.1,2018.0,Action,Capcom  ,Capcom  ,9.4,,0.67,0.17,,0.09,0.93
PSV,90,7.2,2014.0,Action,Futurlab 1  ,FuturLab  ,,,,0.0,,0.0,0.0
PS2,90,8.9,2005.0,Racing,Electronic Arts  ,Criterion Games  ,9.0,,0.75,0.03,,0.12,0.9
PC,90,8.4,2002.0,Sports,Activision  ,Gearbox Software  ,,,,,,,
PS2,90,8.4,2001.0,Sports,EA Sports  ,EA Tiburon  ,,,0.77,0.6,,0.2,1.57
DC,90,8.9,2001.0,Shooter,Infogrames  ,Secret Level  ,9.3,,,,,,
PC,90,9.2,2000.0,Shooter,Eidos Interactive  ,Ion Storm  ,9.2,,,0.01,,0.0,0.01
N64,90,8.6,1999.0,Platform,Nintendo  ,Rare Ltd.  ,9.3,,3.33,0.79,1.09,0.06,5.27
XB,90,8.4,2003.0,Shooter,Sega  ,Smilebit  ,8.8,,0.16,0.05,0.04,0.01,0.26
PC,90,9.2,2007.0,Shooter,Valve Software  ,Valve Corporation  ,9.1,,,,,,
PS4,90,6.4,2014.0,Misc,Polytron  ,Unknown  ,,,,,,,
PC,90,8.6,2009.0,Platform,Number None  ,Number None Inc.  ,8.8,,,0.03,,0.0,0.03
PS2,90,7.7,2008.0,Role-Playing,Atlus  ,Atlus  ,9.2,,0.34,0.04,0.36,0.08,0.82
NS,90,9.0,2018.0,Action-Adventure,Team Cherry  ,Team Cherry  ,,10.0,,,,,
PS3,90,8.1,2009.0,Sports,Sony Computer Entertainment  ,SCE San Diego Studio  ,8.9,,0.66,,,0.06,0.72
N64,90,8.3,1997.0,Action,Nintendo  ,Rare Ltd.  ,9.1,,0.39,0.09,0.17,0.06,0.71
3DS,90,8.3,2015.0,Platform,Yacht Club Games  ,Yacht Club Games  ,,,0.06,0.04,0.02,0.01,0.14
XOne,90,8.8,2020.0,Action-Adventure,Xbox Game Studios  ,Moon Studios  ,,,,,,,
XB,90,7.8,2004.0,Sports,EA Sports  ,EA Sports  ,,,0.44,0.13,,0.02,0.59
XB,90,8.4,2002.0,Sports,Activision  ,Neversoft Entertainment  ,,,0.59,0.3,,0.04,0.93
PC,90,8.4,2001.0,Strategy,Infogrames  ,Firaxis Games  ,8.6,,,0.0,,0.0,0.0
DC,90,7.1,2001.0,Sports,Sega  ,Visual Concepts  ,9.3,,,,,,
PS,90,8.4,2000.0,Fighting,THQ  ,Yuke's  ,8.7,,1.76,1.21,0.07,0.16,3.2
PC,90,7.8,2005.0,Simulation,Ubisoft  ,Ubisoft Romania  ,,,,0.07,,0.01,0.08
PC,90,8.1,2017.0,Action,Sega  ,PlatinumGames  ,,,,,,,
PS3,90,8.3,2010.0,Action,Ubisoft  ,Ubisoft Montreal  ,9.1,,1.87,0.57,0.11,0.3,2.85
Wii,90,8.8,2008.0,Adventure,Capcom  ,Ready at Dawn Studios  ,9.0,9.6,0.43,0.09,0.04,0.05,0.6
PSP,90,7.4,2009.0,Adventure,Rockstar Games  ,Rockstar Leeds  ,9.2,,0.28,0.5,0.03,0.27,1.08
X360,90,8.6,2011.0,Shooter,Electronic Arts  ,Visceral Games  ,9.1,,0.94,0.44,,0.13,1.52
PS3,90,9.0,2012.0,Action-Adventure,Capcom  ,HexaDrive  ,,,,,0.14,,0.14
XOne,90,5.9,2016.0,Sports,2K Sports  ,Visual Concepts  ,8.8,,1.7,0.12,,0.21,2.04
XB,90,7.6,2001.0,Sports,EA Sports  ,EA Sports  ,,,0.53,0.02,,0.03,0.58
DC,90,8.7,2000.0,Role-Playing,Ubisoft  ,Game Arts  ,8.6,,,,0.2,0.0,0.2
PC,90,8.0,2010.0,Strategy,2K Games  ,Firaxis Games  ,8.9,,1.0,0.53,,0.17,1.7
3DS,90,8.4,2011.0,Platform,Nintendo  ,Nintendo EAD Tokyo  ,8.9,,5.1,3.46,2.15,0.85,11.56
PC,90,7.7,2005.0,Simulation,Graphsim Entertainment   ,Lead Pursuit  ,,,,0.02,,0.0,0.02
PC,90,8.5,2011.0,Shooter,Square Enix  ,Eidos Montreal  ,8.7,,0.25,0.26,,0.08,0.58
X360,90,8.3,2012.0,Sports,2K Games  ,Firaxis Games  ,8.8,,0.36,0.22,,0.06,0.63
Wii,90,8.8,2007.0,Shooter,Nintendo  ,Retro Studios  ,9.0,9.4,0.89,0.74,0.07,0.09,1.79
PS4,90,7.7,2018.0,Action,Capcom  ,Capcom  ,9.3,9.0,1.03,1.06,2.17,0.42,4.67
PC,90,7.3,2001.0,Simulation,Microsoft  ,Microsoft  ,,,,,,,
N64,90,8.8,2000.0,Platform,Nintendo  ,Rare Ltd.  ,9.3,,0.82,0.36,0.25,0.06,1.49
PC,90,8.5,2013.0,Adventure,505 Games  ,Starbreeze Studios  ,,,,,,,
PC,90,6.5,2013.0,Strategy,Valve Corporation  ,Valve  ,,,,,,,
XB,90,7.7,2005.0,Sports,Konami  ,Konami Computer Entertainment Tokyo  ,,,0.07,0.02,,0.0,0.09
PS2,90,8.7,2002.0,Shooter,Eidos Interactive  ,Free Radical Design  ,9.1,,0.34,0.27,,0.09,0.7
PC,90,8.0,2012.0,Role-Playing,NCSoft  ,ArenaNet  ,,,1.01,1.11,,0.25,2.37
X360,90,8.3,2007.0,Racing,Microsoft Game Studios  ,Turn 10 Studios  ,9.1,,2.35,1.27,0.03,0.41,4.05
3DS,90,8.3,2011.0,Puzzle,Nintendo  ,Intelligent Systems  ,,,,,,,
X360,90,8.8,2011.0,Action,Konami Digital Entertainment  ,Bluepoint Games  ,,,0.42,0.22,,0.06,0.7
X360,90,8.8,2011.0,Action,Konami  ,Bluepoint Games  ,9.2,,0.25,0.1,,0.03,0.38
PS2,90,8.3,2004.0,Action,Capcom  ,Clover Studio  ,,,0.14,0.11,,0.04,0.28
PC,90,7.8,2002.0,Role-Playing,Crave Entertainment  ,Irrational Games  ,9.1,,,0.0,,,0.0
XB,90,7.6,2002.0,Sports,Sega  ,Visual Concepts  ,,,0.15,0.04,,0.01,0.2
PS,90,8.4,2000.0,Racing,Codemasters  ,Codemasters  ,8.3,,0.02,0.8,0.02,0.07,0.91
PC,90,7.8,2018.0,Strategy,Subset Games  ,Subset Games  ,,,,,,,
PC,90,7.5,,Adventure,Unknown  ,Greg Lobanov  ,,,,,,,
PS4,90,8.3,2019.0,Role-Playing,Activision  ,From Software  ,,,,,,,
XOne,90,8.0,,Action-Adventure,Unknown  ,Sega  ,,,,,,,
PS3,90,8.0,2012.0,Sports,2K Sports  ,Visual Concepts  ,8.9,,1.74,0.46,0.05,0.39,2.63
PC,90,7.0,2008.0,Action,Rockstar Games  ,Rockstar Toronto  ,9.2,,0.01,0.8,,0.06,0.87
PC,90,7.0,2009.0,Strategy,Sega  ,The Creative Assembly  ,8.9,,0.01,0.98,,0.09,1.07
XOne,90,6.4,,Role-Playing,Unknown  ,BioWare  ,,,,,,,
X360,90,8.2,2013.0,Platform,Ubisoft  ,Ubisoft Montpellier  ,,,0.19,0.24,,0.04,0.46
X360,90,7.7,2011.0,Sports,2K Sports  ,Visual Concepts  ,9.1,,2.32,0.14,0.01,0.17,2.64
PS2,90,7.0,2003.0,Sports,Sega  ,Kush Games  ,,,0.11,0.09,,0.03,0.23
PS,90,6.8,2000.0,Sports,EA Sports  ,EA Sports  ,,,1.58,0.05,,0.04,1.67
PS,90,8.7,1999.0,Role-Playing,Square EA  ,SquareSoft  ,9.4,,2.28,1.72,3.63,0.23,7.86
PC,90,8.7,1996.0,Strategy,Virgin Interactive  ,Westwood Studios  ,9.3,,1.37,1.34,,0.14,2.85
PC,89,8.7,2002.0,Shooter,LucasArts  ,Raven Software  ,9.0,,,0.0,,0.0,0.0
XB,89,7.9,2005.0,Shooter,Microsoft Game Studios  ,Bungie Studios  ,8.6,,0.54,0.13,,0.02,0.69
PC,89,9.0,1999.0,Action,Capcom  ,Capcom  ,6.9,,,,,,
PC,89,9.0,2019.0,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
X360,89,8.3,2013.0,Shooter,2K Games  ,Gearbox Software  ,,,1.89,0.88,0.04,0.26,3.06
PSP,89,7.6,2010.0,Role-Playing,Atlus  ,Atlus Co.  ,8.9,,0.18,0.07,0.34,0.05,0.64
PS3,89,8.2,2012.0,Strategy,2K Games  ,Firaxis Games  ,9.1,,0.25,0.24,,0.1,0.59
NS,89,9.0,2020.0,Role-Playing,Nintendo  ,Monolith Soft  ,,,,,,,
X360,89,8.2,2005.0,Shooter,Activision  ,Infinity Ward  ,8.8,9.1,1.84,0.04,0.01,0.16,2.06
XB,89,8.5,2005.0,Action,Electronic Arts  ,Criterion Games  ,,,0.32,0.19,,0.01,0.53
PS2,89,8.7,2005.0,Role-Playing,Square Enix  ,Level 5 / Armor Project  ,8.6,,0.65,0.75,3.61,0.2,5.21
PS4,89,9.1,,Action-Adventure,Unknown  ,Hazelight  ,,,,,,,
GBA,89,8.9,2004.0,Adventure,Nintendo  ,Nintendo R&D1  ,8.9,,0.6,0.22,,0.01,0.84
3DS,89,8.9,2015.0,Action-Adventure,Nintendo  ,GREZZO  ,9.0,,1.2,0.64,0.48,0.18,2.5
PC,89,8.8,2012.0,Adventure,Telltale Games  ,Telltale Games  ,,,,0.03,,0.0,0.03
PS2,89,8.6,2003.0,Sports,EA Sports  ,EA Redwood Shores  ,,,1.18,0.34,,0.1,1.63
PC,89,8.9,2002.0,Strategy,Microsoft Game Studios  ,Ensemble Studios  ,8.8,,0.02,0.06,,0.01,0.08
X360,89,8.4,2010.0,Strategy,PopCap Games  ,PopCap Games  ,8.9,,0.24,,,0.02,0.27
X360,89,8.4,2010.0,Misc,PopCap Games  ,Unknown  ,,,,,,,
NS,89,8.4,2018.0,Action,Merge Games  ,Motion Twin  ,9.3,,0.08,0.02,,0.01,0.11
PC,89,8.5,2016.0,Role-Playing,Namco Bandai Games  ,From Software  ,,,,0.11,,0.01,0.11
NS,89,8.8,2021.0,Platform,Nintendo  ,Nintendo  ,,,,,,,
