Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,vg_user_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
XOne,92,8.2,2018.0,Racing,Microsoft Studios  ,Playground Games  ,9.2,,0.74,0.95,0.01,0.15,1.84
PS3,92,8.8,2010.0,Action,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,9.2,9.4,2.74,1.36,0.12,0.6,4.81
PS2,92,8.8,2001.0,Sports,EA Sports BIG   ,EA Canada  ,9.2,,0.85,0.66,,0.22,1.73
PS2,92,8.3,2001.0,Sports,EA Sports  ,EA Canada  ,,,0.59,0.46,,0.15,1.2
X360,92,8.1,2007.0,Misc,RedOctane  ,Harmonix Music Systems  ,9.2,,2.01,0.02,,0.17,2.21
PS2,92,8.8,2003.0,Adventure,Ubisoft  ,Ubisoft Montreal  ,9.0,9.1,0.88,1.03,,0.31,2.22
PS3,92,8.4,2011.0,Action,Sony Computer Entertainment  ,Naughty Dog  ,9.3,6.3,2.77,2.81,0.19,1.06,6.84
X360,92,8.0,2007.0,Misc,MTV Games  ,Harmonix Music Systems  ,9.1,,1.93,0.33,,0.21,2.47
PS4,92,8.3,2015.0,Adventure,Sony Computer Entertainment  ,thatgamecompany  ,,,,,,,
PS4,92,8.8,2015.0,Role-Playing,Sony Computer Entertainment  ,From Software  ,8.2,,1.3,1.05,0.28,0.48,3.11
PC,92,9.2,2002.0,Strategy,Blizzard Entertainment  ,Blizzard Entertainment  ,9.3,,0.03,0.1,,0.01,0.14
PC,92,7.9,2000.0,Simulation,Maxis  ,Maxis  ,8.9,,0.01,0.03,,0.0,0.05
N64,92,9.1,1998.0,Platform,Nintendo  ,Rare Ltd.  ,9.3,9.4,1.87,1.13,0.55,0.1,3.65
PC,92,7.4,1997.0,Strategy,Electronic Arts  ,Firaxis Games  ,9.3,,,,,,
NS,92,8.6,2018.0,Platform,Matt Makes Games Inc.  ,Matt Makes Games Inc.  ,9.3,,,,,,
Wii,92,7.2,2008.0,Misc,MTV Games  ,Harmonix Music Systems  ,9.0,,0.93,0.01,,0.08,1.02
XB,92,7.6,2005.0,Racing,Microsoft Game Studios  ,Turn 10 Studios  ,9.2,,0.52,0.51,,0.02,1.05
XB,92,7.6,2003.0,Sports,EA Sports  ,EA Tiburon  ,,,1.02,0.02,,0.05,1.09
PS3,92,7.8,2010.0,Fighting,Capcom  ,Capcom / Dimps Corporation  ,9.3,,0.68,0.33,0.18,0.15,1.34
PC,92,6.9,2004.0,Sports,Konami  ,Konami Computer Entertainment Tokyo  ,9.1,,,,,,
GBA,92,8.9,2001.0,Strategy,Nintendo  ,Intelligent Systems  ,9.4,,0.5,0.19,,0.01,0.7
PS,92,9.0,2000.0,Role-Playing,Square EA  ,SquareSoft  ,9.3,,0.3,0.2,0.3,0.06,0.87
PC,92,9.0,2008.0,Shooter,Valve  ,Valve Corporation  ,9.2,,,0.0,,0.0,0.0
PC,92,9.1,1999.0,Role-Playing,Electronic Arts  ,Irrational Games / Looking Glass Studios  ,8.9,,,0.0,,0.0,0.0
PC,92,8.7,2005.0,Action,Ubisoft  ,Ubisoft Montreal  ,,,,0.0,,0.0,0.0
