,Platform,meta_score,meta_UserReview,Year,Publisher,Developer,vg_critic_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Sales,Action,Action-Adventure,Adventure,Board Game,Education,Fighting,MMO,Misc,Music,Party,Platform,Puzzle,Racing,Role-Playing,Sandbox,Shooter,Simulation,Sports,Strategy,Visual Novel
84,PS3,94.0,7.4,2009,Capcom  ,Capcom / Dimps Corporation  ,9.3,2.04,1.05,0.59,0.52,4.19,8.39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,GBA,94.0,8.9,2003,Nintendo  ,Nintendo EAD  ,9.2,2.93,1.25,0.83,0.2,5.2,10.41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
86,DC,94.0,8.3,2000,Sega  ,Smilebit  ,9.1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,PS,94.0,9.2,1998,Konami  ,Konami Computer Entertainment Japan  ,9.3,3.18,1.83,0.78,0.24,6.03,12.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,PC,94.0,9.1,1998,LucasArts  ,LucasArts  ,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,XB,94.0,7.7,2004,Electronic Arts  ,Criterion Games  ,9.3,0.84,0.43,0.0,0.04,1.31,2.62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
90,PC,94.0,8.7,1996,Blizzard Entertainment  ,Blizzard Entertainment  ,8.7,0.01,1.58,0.0,0.0,1.59,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
91,PS2,94.0,9.1,2006,Konami  ,Kojima Productions  ,9.4,0.34,0.01,0.15,0.06,0.55,1.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,X360,94.0,6.6,2009,Activision  ,Infinity Ward  ,9.5,8.54,3.63,0.08,1.28,13.53,27.059999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
93,PS3,94.0,8.8,2008,Konami  ,Kojima Productions  ,9.3,2.63,1.72,0.83,0.81,6.0,11.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,PS2,94.0,8.3,2003,Electronic Arts  ,EA Tiburon  ,8.1,1.35,0.09,0.0,0.23,1.67,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
95,PS2,94.0,8.9,2005,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,9.3,2.71,1.29,0.02,0.43,4.45,8.899999999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,XB,94.0,9.1,2003,LucasArts  ,BioWare Corp.  ,9.4,1.68,0.44,0.0,0.08,2.19,4.390000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
97,PC,94.0,8.2,2005,2K Games  ,Firaxis Games  ,9.4,0.02,0.12,0.0,0.02,0.16,0.3199999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
98,PS2,94.0,8.1,2002,Sega  ,Sega-AM2  ,9.3,0.78,0.44,0.56,0.04,1.81,3.63,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,N64,94.0,9.1,1996,Nintendo  ,Nintendo EAD  ,9.7,6.91,2.85,1.91,0.23,11.89,23.79,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100,PC,93.0,9.4,2015,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,,0.29,0.55,0.0,0.07,0.91,1.8200000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
101,PS2,93.0,9.0,2004,Electronic Arts  ,Criterion Games  ,9.3,1.23,1.11,0.0,0.34,2.68,5.359999999999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
102,Wii,93.0,8.8,2008,Nintendo  ,Project Sora  ,9.2,6.64,2.57,2.67,1.03,12.91,25.82,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,PC,93.0,8.7,2006,THQ  ,Relic  ,9.4,0.0,0.04,0.0,0.0,0.04,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
104,PS,93.0,9.0,1999,Sony Computer Entertainment  ,Polyphony Digital  ,9.2,3.88,3.42,1.69,0.5,9.49,18.98,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
105,PS4,93.0,5.7,2020,Sony Interactive Entertainment  ,Naughty Dog  ,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,DS,93.0,8.3,2009,Rockstar Games  ,Rockstar Leeds/North  ,9.5,0.58,0.56,0.05,0.14,1.33,2.66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,PS,93.0,8.6,1999,Capcom  ,Capcom  ,8.4,0.38,0.12,0.51,0.02,1.03,2.06,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,NS,93.0,9.0,2020,Supergiant Games  ,Supergiant Games  ,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,XB,93.0,7.7,2002,Activision  ,Neversoft Entertainment  ,,0.34,0.18,0.0,0.02,0.55,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
110,PC,93.0,9.2,2020,Valve  ,Valve  ,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,PC,93.0,8.8,2004,Atari  ,Epic Games  ,9.4,0.0,0.02,0.0,0.0,0.02,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
112,X360,93.0,8.6,2013,2K Games  ,Irrational Games  ,,1.22,0.55,0.02,0.18,1.97,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
113,NS,93.0,8.7,2020,iam8bit  ,Moon Studios  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
114,PS2,93.0,9.0,2007,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,9.3,2.32,0.04,0.04,1.67,4.07,8.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,WiiU,93.0,8.9,2013,Nintendo  ,Nintendo EAD Tokyo  ,9.5,2.31,1.54,0.79,0.37,5.01,10.02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
116,PS2,93.0,8.1,2000,EA Sports BIG   ,EA Canada  ,,0.78,0.61,0.06,0.2,1.66,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
117,X360,93.0,7.3,2009,Capcom  ,Capcom / Dimps Corporation  ,9.3,1.83,0.7,0.15,0.26,2.95,5.890000000000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,PC,93.0,8.0,2010,Mojang  ,Mojang AB  ,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
119,NS,93.0,8.2,2018,4-Aug,Toby Fox  ,9.0,0.0,0.0,0.02,0.0,0.02,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
120,PSV,93.0,8.6,2012,Atlus  ,Atlus  ,,0.37,0.29,0.39,0.21,1.25,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
121,PS4,93.0,8.7,2017,Atlus  ,Atlus  ,,0.62,0.34,0.48,0.2,1.64,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
122,PC,93.0,6.2,2019,Rockstar Games  ,Rockstar Games  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,PS2,93.0,8.8,2003,EA Sports BIG   ,EA Canada  ,,0.93,0.52,0.0,0.22,1.67,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
124,XB,93.0,8.6,2002,Ubisoft  ,Ubisoft  ,9.3,1.85,1.04,0.0,0.13,3.02,6.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,PC,93.0,8.2,2002,Rockstar Games  ,DMA Design  ,9.1,0.0,0.01,0.0,0.0,0.01,0.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,DC,93.0,8.3,2000,Sega  ,Raster  ,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
127,PC,93.0,8.8,1999,Sierra Entertainment  ,Relic  ,9.1,0.0,0.02,0.0,0.0,0.02,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
