Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,vg_user_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Sales
X360,93.0,7.3,2009,Fighting,Capcom  ,Capcom / Dimps Corporation  ,9.3,9.3,1.83,0.7,0.15,0.26,2.95,5.890000000000001
PC,93.0,8.0,2010,Misc,Mojang  ,Mojang AB  ,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
NS,93.0,8.2,2018,Role-Playing,4-Aug,Toby Fox  ,9.0,,0.0,0.0,0.02,0.0,0.02,0.04
PSV,93.0,8.6,2012,Role-Playing,Atlus  ,Atlus  ,,,0.37,0.29,0.39,0.21,1.25,2.51
PS4,93.0,8.7,2017,Role-Playing,Atlus  ,Atlus  ,,,0.62,0.34,0.48,0.2,1.64,3.28
PC,93.0,6.2,2019,Action-Adventure,Rockstar Games  ,Rockstar Games  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS2,93.0,8.8,2003,Sports,EA Sports BIG   ,EA Canada  ,,,0.93,0.52,0.0,0.22,1.67,3.34
XB,93.0,8.6,2002,Action,Ubisoft  ,Ubisoft  ,9.3,9.1,1.85,1.04,0.0,0.13,3.02,6.04
PC,93.0,8.2,2002,Action,Rockstar Games  ,DMA Design  ,9.1,,0.0,0.01,0.0,0.0,0.01,0.02
DC,93.0,8.3,2000,Shooter,Sega  ,Raster  ,9.3,,0.0,0.0,0.0,0.0,0.0,0.0
PC,93.0,8.8,1999,Strategy,Sierra Entertainment  ,Relic  ,9.1,,0.0,0.02,0.0,0.0,0.02,0.04
PS2,93.0,9.1,2006,Adventure,Capcom  ,Clover Studio  ,9.4,9.0,0.11,0.03,0.15,0.34,0.63,1.2600000000000002
PS3,93.0,8.2,2007,Role-Playing,Bethesda Softworks  ,4J Studios  ,9.3,,1.69,0.86,0.14,0.44,3.12,6.25
X360,93.0,8.5,2008,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,9.0,8.6,3.41,0.99,0.09,0.46,4.96,9.91
X360,93.0,7.9,2008,Shooter,Microsoft Game Studios  ,Epic Games  ,9.4,9.5,4.15,1.91,0.06,0.64,6.75,13.51
PS2,93.0,8.4,2003,Sports,Konami  ,Konami Computer Entertainment Tokyo  ,,,0.12,1.26,1.16,0.45,2.99,5.98
PS2,93.0,7.3,2002,Sports,Sega  ,Visual Concepts  ,,,1.06,0.08,0.0,0.18,1.32,2.64
X360,93.0,6.0,2012,Role-Playing,Electronic Arts  ,BioWare  ,,,1.94,0.84,0.03,0.24,3.04,6.09
PS4,93.0,8.2,2015,Action,Konami Digital Entertainment  ,Kojima Productions  ,,,0.97,1.15,0.5,0.42,3.04,6.08
DC,93.0,8.9,2000,Role-Playing,Sega  ,Overworks  ,9.2,,0.0,0.0,0.09,0.0,0.09,0.18
Wii,93.0,8.1,2011,Adventure,Nintendo  ,Nintendo EAD  ,9.4,,2.03,1.18,0.37,0.39,3.96,7.93
X360,93.0,8.0,2010,Misc,MTV Games  ,Harmonix Music Systems  ,9.4,,0.73,0.09,0.0,0.06,0.88,1.7599999999999998
DC,93.0,8.3,2000,Racing,Infogrames  ,Melbourne House Pty Ltd.  ,8.2,,0.0,0.0,0.0,0.0,0.0,0.0
DC,93.0,7.2,2000,Sports,Sega  ,Visual Concepts  ,9.2,,0.0,0.0,0.0,0.0,0.0,0.0
PS,93.0,9.2,1997,Platform,Konami  ,Konami Computer Entertainment Tokyo  ,9.3,9.0,0.58,0.4,0.21,0.08,1.27,2.54
PC,93.0,8.9,2020,Action-Adventure,Supergiant Games  ,Supergiant Games  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,93.0,9.0,2003,Role-Playing,LucasArts  ,BioWare Corp.  ,,,0.01,0.11,0.0,0.02,0.14,0.28
PS2,93.0,8.7,2003,Fighting,Sega  ,Sega-AM2  ,8.9,,0.35,0.27,0.0,0.09,0.71,1.42
PS4,93.0,8.8,2016,Action,Sony Interactive Entertainment  ,Naughty Dog  ,9.2,,4.49,3.93,0.21,1.7,10.33,20.66
NS,93.0,8.6,2018,Fighting,Nintendo  ,Bandai Namco Games  ,9.4,9.7,4.22,1.72,2.41,0.61,8.95,17.909999999999997
PS3,93.0,5.8,2012,Role-Playing,Electronic Arts  ,BioWare  ,,,0.65,0.58,0.03,0.2,1.46,2.92
N64,93.0,9.0,2001,Role-Playing,Nintendo  ,Intelligent Systems  ,9.1,,0.58,0.18,0.59,0.02,1.38,2.75
XB,93.0,8.8,2005,Action,Rockstar Games  ,Rockstar North  ,9.2,,1.26,0.61,0.0,0.09,1.95,3.91
XOne,93.0,8.7,2019,Action-Adventure,Capcom  ,Capcom  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,93.0,7.4,2004,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,9.2,8.0,0.12,6.24,0.0,0.0,6.35,12.71
PC,93.0,8.9,2005,Action,Rockstar Games  ,Rockstar North  ,9.4,,0.0,0.93,0.0,0.04,0.97,1.94
PS2,93.0,8.4,2004,Sports,Konami  ,Konami Computer Entertainment Tokyo  ,9.2,,0.08,1.24,1.13,0.45,2.9,5.800000000000001
DC,93.0,7.4,2001,Sports,Sega  ,Visual Concepts  ,9.6,,0.0,0.0,0.0,0.0,0.0,0.0
PS2,92.0,8.7,2003,Fighting,Namco  ,Namco  ,9.1,,1.06,0.62,0.13,0.25,2.06,4.12
PS3,92.0,6.6,2011,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,9.0,,2.57,2.68,0.25,0.99,6.49,12.98
XB,92.0,8.0,2003,Adventure,Ubisoft  ,Ubisoft Montreal  ,9.0,,0.57,0.33,0.0,0.04,0.94,1.88
PC,92.0,8.5,2007,Shooter,Activision  ,Infinity Ward  ,9.3,,0.0,1.12,0.0,0.03,1.15,2.3
XOne,92.0,8.2,2018,Racing,Microsoft Studios  ,Playground Games  ,9.2,,0.74,0.95,0.01,0.15,1.84,3.69
PS3,92.0,8.8,2010,Action,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,9.2,9.4,2.74,1.36,0.12,0.6,4.81,9.629999999999999
PS2,92.0,8.8,2001,Sports,EA Sports BIG   ,EA Canada  ,9.2,,0.85,0.66,0.0,0.22,1.73,3.46
PS2,92.0,8.3,2001,Sports,EA Sports  ,EA Canada  ,,,0.59,0.46,0.0,0.15,1.2,2.4
