fill,Name,Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,Global_Sales
3142,Pictionary,Wii,71,0.0,2010,Misc,THQ  ,"Page 44 Studios, LLC  ",,860000.0
3143,The Simpsons Game,X360,71,7.7,2007,Platform,Electronic Arts  ,EA Redwood Shores  ,6.9,1040000.0
3144,Post Mortem,PC,71,7.2,2003,Adventure,The Adventure Company  ,Microids  ,,20000.0
3145,Blinx: The Time Sweeper,XB,71,7.8,2002,Platform,Microsoft Game Studios  ,Artoon  ,6.8,560000.0
3146,Test Drive,XB,71,8.7,2002,Racing,Atari  ,Pitbull Syndicate  ,,420000.0
3147,Spy Hunter,XB,71,7.8,2002,Racing,Midway Games  ,Point of View  ,,340000.0
3148,Looney Tunes Racing,PS,71,7.6,2000,Racing,Infogrames  ,Circus Freak  ,,290000.0
3149,The 3rd Birthday,PSP,71,6.2,2011,Role-Playing,Square Enix  ,HexaDrive  ,7.0,520000.0
3150,Resident Evil: Deadly Silence,DS,71,8.4,2006,Action,Capcom  ,Capcom  ,6.7,260000.0
3151,Megadimension Neptunia VIIR,PS4,71,6.5,2018,Role-Playing,Idea Factory International  ,Compile Heart  ,,40000.0
3152,Ar tonelico: Melody of Elemia,PS2,71,8.1,2007,Role-Playing,Nippon Ichi Software  ,Gust  ,7.0,100000.0
3153,Sniper Elite III,PC,71,6.8,2014,Shooter,Rebellion Developments  ,Rebellion Developments  ,,10000.0
3154,EyeToy: AntiGrav,PS2,71,7.4,2004,Sports,Sony Computer Entertainment  ,Harmonix Music Systems  ,,430000.0
3155,Summon Night 6: Lost Borders,PS4,71,6.9,2017,Role-Playing,Gaijinworks  ,Media.Vision  ,,90000.0
3156,Chromehounds,X360,71,7.0,2006,Simulation,Sega  ,From Software  ,6.4,280000.0
3157,Ecco the Dolphin: Defender of the Future,PS2,71,8.5,2002,Adventure,Acclaim Entertainment  ,Appaloosa Interactive  ,7.8,140000.0
3158,Detective Pikachu,3DS,71,7.3,2018,Adventure,Nintendo  ,Creatures Inc.  ,7.1,470000.0
3159,The Munchables,Wii,71,8.4,2009,Action,Namco Bandai  ,Namco Bandai Games  ,8.0,180000.0
3160,Tiger Woods PGA Tour 06,X360,71,7.4,2005,Sports,EA Sports  ,EA Sports  ,6.9,310000.0
3161,Asura's Wrath,X360,71,6.7,2012,Action,Capcom  ,CyberConnect2  ,,260000.0
3162,ScreamRide,XOne,71,4.8,2015,Simulation,Microsoft Studios  ,Frontier Developments  ,,10000.0
3163,Fairy Fencer F: Advent Dark Force,PS4,71,6.9,2016,Role-Playing,Idea Factory International  ,Compile Heart  ,,140000.0
3164,ParaWorld,PC,71,7.7,2006,Strategy,Aspyr  ,SEK Ost  ,,20000.0
3165,Knowledge is Power,PS4,71,7.0,2017,Party,Sony Interactive Entertainment  ,Wish Studio  ,,610000.0
3166,Sherlock Holmes: The Devil's Daughter,PS4,71,7.1,2016,Adventure,Bigben Interactive  ,Bigben Interactive  ,,60000.0
3167,FIFA 19,NS,71,3.3,2018,Sports,Electronic Arts  ,EA Sports  ,5.9,750000.0
3168,Ridge Racer Unbounded,X360,71,7.6,2012,Racing,Namco Bandai Games  ,Bugbear Entertainment  ,,110000.0
3169,Suzuki TT Superbikes,PS2,71,8.3,2005,Racing,Valcon Games  ,Jester Interactive  ,,400000.0
3170,Teenage Mutant Ninja Turtles,GBA,71,8.1,2003,Action,Konami  ,Konami  ,,930000.0
3171,Hulk,PS2,71,7.8,2003,Action,Universal Interactive  ,Radical Entertainment  ,,1060000.0
3172,Sub Rebellion,PS2,71,0.0,2002,Simulation,Metro 3D  ,Irem Software Engineering  ,,80000.0
3173,Zone of the Enders: The Fist of Mars,GBA,71,8.4,2002,Role-Playing,Konami  ,WinkySoft  ,,60000.0
3174,Mat Hoffman's Pro BMX,GBA,71,8.0,2001,Sports,Activision  ,HotGen Studios  ,,270000.0
3175,Gallop Racer 2001,PS2,71,8.7,2001,Sports,Tecmo  ,Tecmo  ,,170000.0
3176,Hellgate: London,PC,70,6.3,2007,Role-Playing,Electronic Arts  ,Flagship Studios  ,,20000.0
3177,Worms: Open Warfare,PSP,70,6.8,2006,Strategy,THQ  ,Team17 Software  ,6.9,770000.0
3178,Deadly Premonition: The Director's Cut,PS3,70,7.7,2013,Action,Rising Star Games  ,Access Games  ,,160000.0
3179,Castlevania: Curse of Darkness,PS2,70,8.2,2005,Action,Konami  ,Konami  ,7.2,420000.0
3180,Spectrobes: Beyond the Portals,DS,70,7.6,2008,Role-Playing,Disney Interactive Studios  ,Jupiter Multimedia  ,7.3,520000.0
