,Name,Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,vg_user_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
3250,Robert Ludlum's The Bourne Conspiracy,PS3,70.0,7.5,2008,Action,Sierra Entertainment  ,High Moon Studios  ,7.6,,0.4242640687119285,0.37416573867739417,0.0,0.2449489742783178,0.6244997998398398
3251,Halo Wars 2,PC,70.0,6.1,2017,Strategy,THQ Nordic  ,Creative Assembly  ,,,0.0,0.1414213562373095,0.0,0.0,0.1414213562373095
3252,Mario vs. Donkey Kong: Tipping Stars,WiiU,70.0,7.5,2015,Puzzle,Nintendo  ,Nintendo Software Technology Corporation  ,6.4,,0.0,0.0,0.1414213562373095,0.0,0.1414213562373095
3253,Just Dance 2015,XOne,70.0,7.7,2014,Music,Ubisoft  ,Ubisoft Paris  ,8.1,,0.6,0.36055512754639896,0.0,0.22360679774997896,0.7348469228349535
3254,Spore Galactic Adventures,PC,70.0,7.2,2009,Strategy,Electronic Arts  ,Electronic Arts  ,,,0.0,0.1,0.0,0.0,0.1
3255,DK: King of Swing,GBA,70.0,5.0,2005,Platform,Nintendo  ,Paon Corporation  ,7.1,,0.41231056256176607,0.2449489742783178,0.0,0.0,0.4898979485566356
3256,Thief,PC,70.0,5.9,2014,Action,Square Enix  ,Eidos Montreal  ,,,0.0,0.31622776601683794,0.0,0.1,0.33166247903553997
3257,MySims,PC,70.0,7.1,2008,Simulation,Electronic Arts  ,EA Redwood Shores  ,,,0.0,0.1414213562373095,0.0,0.0,0.17320508075688773
3258,Star Wars: The Force Unleashed,PSP,70.0,7.9,2008,Action,LucasArts  ,Krome Studios  ,7.1,,0.6557438524302001,0.6403124237432849,0.0,0.4898979485566356,1.044030650891055
3259,Killzone,PS2,70.0,7.3,2004,Shooter,Sony Computer Entertainment  ,Guerrilla Games  ,6.8,,0.8888194417315589,0.17320508075688773,0.0,0.36055512754639896,0.9695359714832658
3260,Sniper Elite V2,PS3,70.0,6.8,2012,Shooter,505 Games  ,Rebellion Developments  ,7.4,,0.6164414002968976,0.6324555320336759,0.2449489742783178,0.3872983346207417,0.9899494936611666
3261,Taiko no Tatsujin: Drum Session!,PS4,70.0,7.1,2017,Music,Namco Bandai Games  ,Namco Bandai Games  ,,,0.0,0.0,0.3,0.0,0.3
3262,James Bond 007: Blood Stone,DS,70.0,7.0,2010,Action,Activision  ,n-Space  ,7.0,,0.22360679774997896,0.1,0.0,0.0,0.2449489742783178
3263,Luminous Arc,DS,70.0,7.0,2007,Role-Playing,Atlus  ,imageepoch Inc.  ,6.8,,0.4,0.0,0.2449489742783178,0.1,0.4898979485566356
3264,Gekido Advance: Kintaro's Revenge,GBA,70.0,7.0,2003,Action,"Destination Software, Inc  ",NA.P.S. Team SNC  ,7.7,,0.1414213562373095,0.1,0.0,0.0,0.17320508075688773
3265,Harry Potter and the Goblet of Fire,PSP,70.0,6.9,2005,Adventure,Electronic Arts  ,Electronic Arts  ,7.2,,0.41231056256176607,0.0,0.0,0.1414213562373095,0.43588989435406733
3266,WRC 7,PS4,70.0,7.2,2017,Racing,Bigben Interactive  ,Kylotonn Entertainment  ,,,0.2449489742783178,0.0,0.0,0.1,0.2645751311064591
3267,Sacred 2: Fallen Angel,PS3,70.0,7.0,2009,Role-Playing,CDV Software Entertainment  ,Ascaron Entertainment  ,7.1,,0.469041575982343,0.47958315233127197,0.282842712474619,0.3,0.7810249675906654
3268,Buzz! Junior: Jungle Party,PS2,70.0,8.0,2007,Misc,Sony Computer Entertainment  ,Cohort Studios  ,,,0.4472135954999579,0.4,0.0,0.22360679774997896,0.6403124237432849
3269,Pitfall: The Lost Expedition,PS2,70.0,8.6,2004,Platform,Activision  ,Edge of Reality  ,,,0.31622776601683794,0.282842712474619,0.0,0.17320508075688773,0.4472135954999579
3270,EA Sports UFC,XOne,70.0,6.2,2014,Fighting,Electronic Arts  ,EA Canada  ,,,0.5477225575051661,0.36055512754639896,0.0,0.2,0.6928203230275509
3271,Shrek the Third,DS,70.0,3.9,2007,Action,Activision  ,Vicarious Visions  ,,,0.5099019513592785,0.1414213562373095,0.0,0.1414213562373095,0.5477225575051661
3272,Tom Clancy's Rainbow Six 3,PS2,70.0,8.2,2004,Shooter,Ubisoft  ,Ubisoft Montreal / Red Storm Entertainment  ,,,0.6324555320336759,0.5567764362830022,0.0,0.31622776601683794,0.9
3273,Silent Hill HD Collection,PS3,70.0,4.8,2012,Action,Konami Digital Entertainment  ,Konami  ,,,0.3872983346207417,0.31622776601683794,0.17320508075688773,0.2,0.565685424949238
3274,Remember Me,X360,70.0,7.6,2013,Action,Capcom  ,DONTNOD Entertainment  ,,,0.33166247903553997,0.2449489742783178,0.0,0.1414213562373095,0.43588989435406733
3275,Crash of the Titans,PS2,70.0,6.7,2007,Action,Sierra Entertainment  ,Unknown  ,,,0.5830951894845301,0.1,0.0,0.2449489742783178,0.6403124237432849
3276,Cars,XB,70.0,8.0,2006,Racing,THQ  ,Rainbow Studios  ,,,0.3872983346207417,0.2,0.0,0.1,0.4472135954999579
