fill,Name,Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,Global_Sales
2868,Zoo Tycoon 2,PC,72.0,7.9,2004,Strategy,Microsoft Game Studios  ,Blue Fang Games  ,7.2,60000.0
2869,Dungeon Siege III,PC,72.0,4.7,2011,Role-Playing,Square Enix  ,Obsidian Entertainment  ,7.3,170000.0
2870,Test Drive Unlimited 2,PC,72.0,5.8,2011,Racing,Atari  ,Eden Studios  ,6.7,190000.0
2871,Dynasty Warriors 3: Xtreme Legends,PS2,72.0,8.5,2003,Action,KOEI  ,Omega Force  ,,1000000.0
2872,Robotech: Battlecry,PS2,72.0,8.2,2002,Shooter,TDK Mediactive  ,Vicious Cycle  ,,610000.0
2873,Outlaw Golf,XB,72.0,6.9,2002,Sports,Simon & Schuster Interactive  ,Hypnotix  ,,290000.0
2874,Tetris Party Deluxe,Wii,72.0,6.4,2010,Puzzle,Majesco  ,"Tetris Online, Inc  ",7.3,560000.0
2875,Banjo-Kazooie: Grunty's Revenge,GBA,72.0,8.1,2003,Platform,THQ  ,Rare Ltd.  ,6.6,330000.0
2876,The Sims 4: Get Together,PC,72.0,7.1,2015,Simulation,Electronic Arts  ,Maxis  ,,350000.0
2877,Guitar Hero: Warriors of Rock,X360,72.0,6.7,2010,Misc,Activision  ,Neversoft Entertainment  ,7.1,860000.0
2878,Drawn to Life: The Next Chapter,DS,72.0,7.7,2009,Adventure,THQ  ,5TH Cell  ,7.4,650000.0
2879,Binary Domain,PS3,72.0,8.3,2012,Action,Sega  ,Amusement Vision  ,,330000.0
2880,Halo 2,PC,72.0,6.1,2007,Shooter,Microsoft Game Studios  ,Hired Gun  ,6.9,90000.0
2881,Deadly Creatures,Wii,72.0,8.5,2009,Action,THQ  ,Rainbow Studios  ,6.9,220000.0
2882,Jak and Daxter: The Lost Frontier,PS2,72.0,5.6,2009,Platform,Sony Computer Entertainment  ,High Impact Games  ,7.5,460000.0
2883,Blood Bowl,PC,72.0,6.5,2010,Sports,SouthPeak Interactive  ,Cyanide Studio  ,6.5,60000.0
2884,Steep,XOne,72.0,6.5,2016,Sports,Ubisoft  ,Ubisoft Annecy  ,,480000.0
2885,Disney Art Academy,3DS,72.0,7.1,2016,Misc,Nintendo  ,Headstrong Games  ,,200000.0
2886,50 Cent: Blood on the Sand,PS3,72.0,6.9,2009,Shooter,THQ  ,Swordfish Studios  ,7.2,190000.0
